Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Security_ID,Dhan_Source,Commodity,Futures_Basis_Proxy,Basis_Diff_d1
2026-03-09 12:00,2026-03-09,12,141292.0,141292.0,141292.0,141292.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 13:00,2026-03-09,13,141292.0,141292.0,141292.0,141292.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 14:00,2026-03-09,14,141292.0,141292.0,141292.0,141292.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 15:00,2026-03-09,15,141292.0,141474.0,141292.0,141440.0,4.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,148.0,148.0
2026-03-09 16:00,2026-03-09,16,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-148.0
2026-03-09 17:00,2026-03-09,17,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 18:00,2026-03-09,18,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 19:00,2026-03-09,19,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 20:00,2026-03-09,20,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 21:00,2026-03-09,21,141440.0,141440.0,141440.0,141440.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-09 22:00,2026-03-09,22,141440.0,141440.0,141290.0,141290.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-150.0,-150.0
2026-03-09 23:00,2026-03-09,23,141290.0,141290.0,141290.0,141290.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,150.0
2026-03-10 09:00,2026-03-10,9,17854.0,17908.0,17788.0,17845.0,227.0,562056,Dhan HQ Paid API v2 (Client 1112620458),Gold,-9.0,-9.0
2026-03-10 10:00,2026-03-10,10,142464.0,142464.0,142464.0,142464.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,9.0
2026-03-10 11:00,2026-03-10,11,142464.0,142616.0,142329.0,142329.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-135.0,-135.0
2026-03-10 12:00,2026-03-10,12,142329.0,142329.0,142329.0,142329.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,135.0
2026-03-10 13:00,2026-03-10,13,142329.0,142329.0,142329.0,142329.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-10 14:00,2026-03-10,14,142329.0,142329.0,142329.0,142329.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-10 15:00,2026-03-10,15,142329.0,142485.0,142193.0,142193.0,3.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-136.0,-136.0
2026-03-10 16:00,2026-03-10,16,142193.0,142193.0,142193.0,142193.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,136.0
2026-03-10 17:00,2026-03-10,17,142193.0,142193.0,142193.0,142193.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-10 18:00,2026-03-10,18,142193.0,142193.0,142193.0,142193.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-10 19:00,2026-03-10,19,142193.0,142193.0,142193.0,142193.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-10 20:00,2026-03-10,20,142193.0,142857.0,142193.0,142857.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,664.0,664.0
2026-03-10 21:00,2026-03-10,21,142857.0,143143.0,142857.0,143143.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,286.0,-378.0
2026-03-10 22:00,2026-03-10,22,143143.0,143143.0,143143.0,143143.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-286.0
2026-03-10 23:00,2026-03-10,23,143143.0,143143.0,143143.0,143143.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-11 09:00,2026-03-11,9,142695.0,142695.0,142695.0,142695.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-11 10:00,2026-03-11,10,142695.0,142695.0,142695.0,142695.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-11 11:00,2026-03-11,11,142695.0,142695.0,142695.0,142695.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-11 12:00,2026-03-11,12,142695.0,142695.0,142287.0,142287.0,3.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-408.0,-408.0
2026-03-11 13:00,2026-03-11,13,142287.0,142287.0,142287.0,142287.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,408.0
2026-03-11 14:00,2026-03-11,14,142287.0,142287.0,142116.0,142116.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-171.0,-171.0
